name,description
Други външни услуги,"обикновено се използва като обобщаваща сметка/разходен ред за услуги, които не попадат в конкретни подкатегории (наеми, транспорт, охрана, почистване, куриерски и др.). Тя може да включва:
Консултантски услуги (правни, счетоводни, одиторски, маркетингови и др.), ако не са отделени в самостоятелна категория.
Услуги по поддръжка и сервиз (ремонти на техника, машини, оборудване, поддръжка на софтуер).
Рекламни и медийни услуги (дизайн, печат, онлайн кампании).
Абонаментни и лицензионни услуги, които не са класифицирани отделно.
Такси за външни експерти и специалисти.
Други договори за услуги, които фирмата възлага на външни изпълнители и не могат да се отнесат в конкретна сметка."
ел. енергия,"в счетоводството и отчетността обхваща разходите на предприятието за:
Потребление на електрическа енергия – консумирана в офиси, производствени помещения, складове, обекти.
Такси и мрежови услуги – пренос, достъп, разпределение, акцизи и други задължителни компоненти, начислявани от електроснабдителното дружество във фактурата.
Разходи за ел. енергия за технологични нужди – например за машини, оборудване, осветление, отопление (ако е на ток), климатизация.
Ел. енергия за служебни автомобили (ако са електромобили) – когато фирмата има зарядни станции и зарежда електрически коли."
Компютърна техника и софтуер,"обхваща разходи и придобивания, свързани с използването на ИТ оборудване и програмни продукти в дейността на предприятието.
Вкл:
Компютърна техника
настолни компютри, лаптопи, сървъри;
монитори
принтери, скенери, копирни машини, мултифункционални устройства;
рутери, суичове, мрежови устройства;
външни и вътрешни дискове, UPS устройства и др. хардуер;

💽 Софтуер
операционни системи (Windows, Linux дистрибуции, macOS – ако се закупуват отделно);
офис пакети (MS Office, LibreOffice и др.);
специализиран софтуер – счетоводни програми, CAD/CAM, CRM, ERP и др.;
антивирусни програми и системи за сигурност;
лицензи и абонаменти за софтуер (вкл. облачни услуги, когато се третират като софтуер, а не като външна услуга)."
Застраховки,"включва всички разходи на предприятието за задължителни и доброволни застраховки, сключени с лицензирани застрахователни дружества.
Включват:
Застраховки, свързани с МПС
Гражданска отговорност (задължителна);
Автокаско;
Застраховка „Злополука“ на пътниците;
Застраховка „Помощ при пътуване“ (ако е за служебни цели).
Застраховки, свързани с имущество
Застраховка на сгради, офиси, производствени помещения;
Застраховка на машини, техника, оборудване;
Застраховка срещу пожар, наводнение, природни бедствия, кражби и др.
Застраховки, свързани с персонал
Застраховка „Трудова злополука“ (задължителна за определени дейности);
Застраховка „Живот“ или „Злополука“ на служители (ако работодателят я осигурява);
Доброволни здравни застраховки.
Други
Застраховка на товари при транспорт;
Професионална отговорност (например за адвокати, лекари, счетоводители);
Финансови и гаранционни застраховки."
Гориво и транспорт,"обикновено включва всички разходи, свързани с придвижването и експлоатацията на превозни средства. В нея най-често попадат:
Горива – бензин, дизел, газ, метан, електрическо зареждане на автомобили.
Смазочни материали и консумативи – масла, течности,автомобилни части и др.
Разходи за транспортни услуги – превоз на стоки или хора от външни фирми (напр. куриерски, логистични услуги, билети за служебни пътувания).
Такси и пътни разходи – винетки, пътни такси, паркинг, магистрални такси.
Наем или лизинг на транспортни средства (ако е отчетено в тази категория, а не в отделна).
Разходи за вътрешен транспорт – служебни командировки с обществен транспорт, таксита и др."
Представителни цели,"обикновено се отнася до разходи, свързани с представянето на фирмата пред клиенти, партньори или служители. Това са разходи, които не са пряко производствени, а служат за имидж, реклама или социални контакти. Основно включва:
Бизнес срещи и събития – напитки, храна, кетъринг за клиенти, партньори или служители при официални срещи.
Подаръци и сувенири – фирмени подаръци за клиенти, партньори, служители за празници, юбилеи и т.н.
Корпоративни събития – организиране на празници, тиймбилдинги, партита или други фирмени мероприятия.
Рекламни и промоционални материали – ако са предназначени за представяне пред клиенти (каталози, брошури, рекламни подаръци).
Обслужване на официални гости – транспорт, настаняване и други разходи при приемане на важни гости на фирмата."
Лизингови договори,"включва всички разходи, свързани с наемане или ползване на активи чрез лизинг, вместо директна покупка. По принцип се дели на два основни вида лизинг: финансов и оперативен.
В категорията попадат:
Месечни или периодични лизингови вноски – за автомобили, машини, офис техника, компютри, оборудване и др.
Такси за управление на лизинговия договор – ако има допълнителни административни такси от лизингодателя.
Застраховки, включени в лизинга – понякога лизингът включва Каско или други застраховки, които се плащат чрез договора.
Обслужване и поддръжка, ако са включени в лизинга – например при оперативен лизинг, където договорът покрива сервиз и техническа поддръжка на автомобила или техниката."
Социални цели,"обикновено включва разходи, свързани с подпомагане и грижа за служителите на фирмата, както и за социални инициативи, които фирмата поема. Тези разходи са насочени към подобряване на социалната среда и благосъстоянието на хората, свързани с компанията.
Основни разходи, които попадат в категорията:
Социални плащания и помощи за служители – рождени дни, сватби, раждане на дете, болнични помощи, отпуск за социални нужди.
Стипендии и обучения – ако фирмата подпомага служители или външни лица чрез социални програми.
Финансова помощ или дарения – насочени към социални каузи, благотворителност, местни общности.
Служебни програми за здраве и спорт – абонаменти за спортни клубове, здравни програми, профилактични прегледи.
Други социални инициативи – фирмени програми за интеграция, подкрепа на определени групи служители (например хора с увреждания)."
Вода и канал,"включва всички разходи, свързани с водоснабдяване и отвеждане на отпадъчни води за фирмата или домакинството.
Включва:
Разходи за питейна вода – сметки от местното водоснабдително дружество.
Разходи за отпадни води/канализация – такси за отвеждане на отпадни води, пречиствателни станции и т.н.
Такси и абонаменти, свързани с водоснабдяването – годишни такси за водомер, обслужване на канализацията.
Допълнителни разходи за вода, свързани с бизнеса – например, вода за производство, за санитарни нужди или за поливане на зелени площи (ако се води отделно)."
Топлинна енергия / парно / и газ,"обхваща всички разходи за отопление и топла вода, осигурявани чрез различни източници на енергия.
В нея попадат:
Топлинна енергия (парно) – сметки за централно отопление, доставка на топла вода чрез градски отоплителни мрежи или локални котелни.
Газ – природен газ за отопление, готвене или технологични нужди (за производства, кухни и др.).
Такси и абонаменти – ако има фиксирани годишни такси за поддръжка на газовата мрежа или топлопреносната система.
Свързани услуги – измервателни уреди (топломери, газови уреди) и тяхната поддръжка, ако се включват в сметката."
Интернет,"включва всички разходи, свързани с осигуряване на достъп до интернет за фирмата или домакинството.
По-конкретно включва:
Месечни такси за интернет услуги – от доставчици на фиксиран или мобилен интернет.
Такси за оборудване – рутери, модеми, мрежови устройства, ако са включени в сметката от доставчика.
Допълнителни абонаменти или услуги – например за по-висока скорост, допълнителни IP адреси, корпоративни VPN услуги.
Разходи за поддръжка на интернет мрежата – ако доставчикът или фирмата извършва обслужване или ремонт."
Мобилни услуги,"включва всички разходи, свързани с мобилни телефони и мобилни комуникации на фирмата или домакинството.
По-конкретно включва:
Месечни абонаментни такси за мобилни телефони – стандартни планове за разговори, SMS и мобилен интернет.
Разговори и SMS извън абонаментния план – допълнителни такси за международни или извънпакетни услуги.
Мобилен интернет и мобилни данни – ако се ползва отделен абонамент или SIM карта за интернет.
Такси за използване на SIM карти и услуги към доставчика – активации, допълнителни пакети, роуминг и др.
Обслужване и поддръжка на мобилни устройства – ако се плаща чрез оператора или е включено в договора."
Канцеларски материали и консумативи,"включва всички разходи, свързани с ежедневната работа в офиса и поддържането на нормалната му дейност.
По-конкретно попадат:
Хартия и печатни материали – тетрадки, бележници, принтерна и копирна хартия, етикети.
Писалки, маркери, моливи и други писателни средства.
Папки, файлове, класьори, документирани папки и органайзери.
Консумативи за техника – мастила и тонери за принтери и копирни машини, флашки, CD/DVD, батерии.
Други офис консумативи – лепила, кламери, щипки, стикери, ластици, бележници и др.
Дребни офис принадлежности – ножици, телбод, калкулатори и подобни."
Куриерски услуги,"включва всички разходи, свързани с изпращане и получаване на пратки чрез куриерски фирми.
По-конкретно попадат:
Такси за доставка на пратки – национални и международни куриерски услуги.
Такси за експресни или приоритетни услуги – ако пратките се изпращат по-бързо от стандартния срок.
Допълнителни услуги на куриера – застраховка на пратки, проследяване, доставка до специфично място или час.
Разходи за обработка на документи – ако куриерът предоставя услуги по изпращане на документи, включително препоръчани писма.
Пакетиране и опаковъчни материали, ако са предоставени от куриерската фирма и се включват в сметката."
Наем на офиси,"включва всички разходи, свързани с ползването на офисни помещения от фирмата.
По-конкретно попадат:
Месечен или годишен наем – основната сума, договорена с наемодателя за ползването на офиса.
Такси за поддръжка и обслужване – ако се заплащат отделно (например общи части, асансьори, чистота, охрана).
Такси за управление на сградата – административни такси, които често се добавят към наема в бизнес сгради.
Други свързани разходи, ако са включени в договора – например за паркоместа към офиса, ползване на конференц зали и др."
Обучение,"включва всички разходи, свързани с придобиване или подобряване на знания и умения на служителите или собствениците на фирмата.
По-конкретно попадат:
Такси за курсове, семинари и тренинги – както присъствени, така и онлайн.
Конференции и професионални събития – участие в събития, свързани с професионалното развитие.
Образователни материали – книги, учебни пособия, софтуер за обучение.
Такси за сертификации и изпити – ако служителят преминава официален изпит за квалификация.
Вътрешни обучения и тренинги – разходи за преподаватели, лектори или организационно обезпечаване."
Компютърни части,"включва всички разходи за компоненти и периферия, които са част от компютърна техника, но не се водят самостоятелен дълготраен актив сами по себе си (освен ако не са част от нова компютърна система).
По-конкретно попадат:
Вътрешни компоненти на компютри – процесори, RAM памет, хард дискове, SSD, видеокарти, дънни платки, захранвания.
Периферни устройства – клавиатури, мишки, монитори, слушалки, уеб камери.
Аксесоари за компютърна техника – кабели, адаптери, охладители, стойки, кейсове и т.н.
Консумативи за техника – ако се използват за поддръжка на компютърни системи (напр. термопаста, вентилатори, допълнителни батерии за лаптопи)."
